
 
					TH				PH
				---------------------------	---------------------------
THETA      	PHI        	P.REAL     	P.IMAG     	P.REAL     	P.IMAG     
-----------	-----------	-----------	-----------	-----------	-----------
-155.000000	125.000000	-0.002228	-0.001183	-0.002390	 0.006568
-155.000000	130.000000	-0.001857	-0.000430	-0.001877	 0.006326
-155.000000	135.000000	-0.000404	 0.001458	-0.000956	 0.006117
-155.000000	140.000000	 0.000687	 0.003444	 0.000132	 0.006458
-155.000000	145.000000	 0.000317	 0.004452	 0.000831	 0.007139
-155.000000	150.000000	-0.000752	 0.004406	 0.000802	 0.007411
-155.000000	155.000000	-0.000839	 0.004123	 0.000298	 0.006918
-155.000000	160.000000	 0.000524	 0.004257	-0.000090	 0.006097
-155.000000	165.000000	 0.002065	 0.004639	-0.000060	 0.005548
-155.000000	170.000000	 0.002454	 0.004704	 0.000159	 0.005345
-155.000000	175.000000	 0.001815	 0.004329	 0.000332	 0.005156
-155.000000	180.000000	-0.001163	-0.003978	-0.000670	-0.004781
-150.000000	 0.000000	 0.003913	-0.003412	-0.002019	-0.001112
-150.000000	 5.000000	 0.004279	-0.006575	-0.001044	-0.000485
-150.000000	10.000000	 0.001925	-0.012189	 0.000005	-0.000640
-150.000000	15.000000	-0.001528	-0.014675	-0.000140	-0.000586
-150.000000	20.000000	-0.002909	-0.013006	-0.001232	 0.000500
-150.000000	25.000000	-0.001821	-0.010754	-0.001771	 0.001857
-150.000000	30.000000	-0.000648	-0.010427	-0.001456	 0.002299
-150.000000	35.000000	-0.000604	-0.010948	-0.001067	 0.001836
-150.000000	40.000000	-0.000814	-0.010517	-0.000498	 0.001436
-150.000000	45.000000	-0.000755	-0.009323	 0.000771	 0.001777
-150.000000	50.000000	-0.000982	-0.008590	 0.001936	 0.002646
-150.000000	55.000000	-0.001777	-0.008411	 0.001806	 0.003059
-150.000000	60.000000	-0.002961	-0.007522	 0.000933	 0.002010
-150.000000	65.000000	-0.004504	-0.005054	 0.000911	-0.000168
-150.000000	70.000000	-0.005998	-0.001913	 0.002035	-0.001630
-150.000000	75.000000	-0.006390	 0.000208	 0.003117	-0.001054
-150.000000	80.000000	-0.005178	 0.000908	 0.003252	 0.000935
-150.000000	85.000000	-0.003073	 0.001017	 0.002727	 0.003081
-150.000000	90.000000	-0.001205	 0.000857	 0.002352	 0.004990
-150.000000	95.000000	-0.000460	 0.000235	 0.002478	 0.006580
-150.000000	100.000000	-0.001090	-0.000170	 0.002757	 0.007378
-150.000000	105.000000	-0.002074	 0.000729	 0.002829	 0.007114
-150.000000	110.000000	-0.001846	 0.002794	 0.002840	 0.006242
-150.000000	115.000000	-0.000434	 0.004716	 0.003019	 0.005660
-150.000000	120.000000	 0.000564	 0.005437	 0.003365	 0.006009
-150.000000	125.000000	 0.000537	 0.005103	 0.003995	 0.006934
-150.000000	130.000000	 0.000697	 0.004914	 0.004817	 0.007331
-150.000000	135.000000	 0.002168	 0.005863	 0.005041	 0.006764
-150.000000	140.000000	 0.004613	 0.007571	 0.004311	 0.005884
-150.000000	145.000000	 0.006829	 0.008827	 0.003567	 0.005162
-150.000000	150.000000	 0.008138	 0.009104	 0.003466	 0.004378
-150.000000	155.000000	 0.009055	 0.009015	 0.003356	 0.003695
-150.000000	160.000000	 0.010076	 0.009463	 0.002872	 0.003863
-150.000000	165.000000	 0.010312	 0.010622	 0.002613	 0.004844
-150.000000	170.000000	 0.008923	 0.011773	 0.002566	 0.005504
-150.000000	175.000000	 0.007208	 0.012170	 0.001903	 0.005155
-150.000000	180.000000	-0.007050	-0.011955	-0.000544	-0.004381
-145.000000	 0.000000	-0.019339	 0.004973	-0.001032	-0.003695
-145.000000	 5.000000	-0.018696	 0.005838	-0.000397	-0.002939
-145.000000	10.000000	-0.017812	 0.005118	 0.000020	-0.003046
-145.000000	15.000000	-0.018442	 0.004186	-0.000731	-0.003493
-145.000000	20.000000	-0.018721	 0.003138	-0.001241	-0.003456
-145.000000	25.000000	-0.017729	 0.001676	-0.000222	-0.002947
-145.000000	30.000000	-0.016436	 0.000472	 0.000523	-0.002380
-145.000000	35.000000	-0.015400	 0.000612	-0.000739	-0.002059
-145.000000	40.000000	-0.014757	 0.001926	-0.002533	-0.002258
-145.000000	45.000000	-0.014515	 0.003348	-0.002947	-0.003126
-145.000000	50.000000	-0.013465	 0.004645	-0.002553	-0.003584
-145.000000	55.000000	-0.009877	 0.005792	-0.002664	-0.002199
-145.000000	60.000000	-0.004365	 0.005893	-0.003442	 0.000088
-145.000000	65.000000	 0.000283	 0.004441	-0.005057	 0.001164
-145.000000	70.000000	 0.002773	 0.002035	-0.007691	 0.001330
-145.000000	75.000000	 0.003709	-0.000524	-0.009724	 0.002117
-145.000000	80.000000	 0.002889	-0.002283	-0.009122	 0.002931
-145.000000	85.000000	 0.000331	-0.002476	-0.006663	 0.002413
-145.000000	90.000000	-0.001285	-0.001933	-0.005049	 0.001158
-145.000000	95.000000	 0.000199	-0.002019	-0.005252	 0.000358
-145.000000	100.000000	 0.002397	-0.002645	-0.005927	 0.000140
-145.000000	105.000000	 0.002203	-0.003581	-0.005655	 0.000299
-145.000000	110.000000	 0.000927	-0.005136	-0.004417	 0.000352
-145.000000	115.000000	 0.000943	-0.006392	-0.003725	-0.000163
-145.000000	120.000000	 0.001406	-0.006530	-0.004825	-0.000276
-145.000000	125.000000	 0.000896	-0.006738	-0.006255	 0.001050
-145.000000	130.000000	-0.000505	-0.007860	-0.006118	 0.002780
-145.000000	135.000000	-0.002665	-0.009225	-0.005847	 0.003605
-145.000000	140.000000	-0.004962	-0.010286	-0.006930	 0.003954
-145.000000	145.000000	-0.006546	-0.010548	-0.007166	 0.004506
-145.000000	150.000000	-0.008373	-0.009768	-0.005239	 0.004878
-145.000000	155.000000	-0.010898	-0.009031	-0.003676	 0.004920
-145.000000	160.000000	-0.011829	-0.009131	-0.003582	 0.005245
-145.000000	165.000000	-0.010280	-0.009254	-0.002804	 0.005537
-145.000000	170.000000	-0.008643	-0.008974	-0.000908	 0.004849
-145.000000	175.000000	-0.008058	-0.009202	 0.000193	 0.003817
-145.000000	180.000000	 0.007346	 0.010287	-0.000297	-0.003514
-140.000000	 0.000000	 0.011159	-0.026276	-0.000019	-0.000461
-140.000000	 5.000000	 0.011508	-0.027278	 0.001037	 0.000980
-140.000000	10.000000	 0.011374	-0.026791	 0.001311	 0.001632
-140.000000	15.000000	 0.010607	-0.026699	 0.000159	 0.002161
-140.000000	20.000000	 0.010148	-0.026557	-0.000509	 0.002696
-140.000000	25.000000	 0.010059	-0.024448	 0.000077	 0.003354
-140.000000	30.000000	 0.010799	-0.021891	 0.000028	 0.003479
-140.000000	35.000000	 0.011544	-0.020355	-0.000505	 0.003069
-140.000000	40.000000	 0.010503	-0.019377	 0.000007	 0.003762
-140.000000	45.000000	 0.008019	-0.018601	 0.000625	 0.004969
-140.000000	50.000000	 0.004896	-0.017407	-0.000043	 0.005173
-140.000000	55.000000	 0.001210	-0.015405	-0.000603	 0.004729
-140.000000	60.000000	-0.002847	-0.013325	 0.001188	 0.003431
-140.000000	65.000000	-0.007185	-0.011323	 0.004407	 0.001006
-140.000000	70.000000	-0.010700	-0.008465	 0.006316	-0.000791
-140.000000	75.000000	-0.011670	-0.004997	 0.006417	-0.000448
-140.000000	80.000000	-0.009393	-0.002409	 0.005993	 0.001032
-140.000000	85.000000	-0.004678	-0.001127	 0.006084	 0.002268
-140.000000	90.000000	-0.000320	-0.000740	 0.006708	 0.003764
-140.000000	95.000000	 0.001312	-0.000084	 0.007155	 0.005318
-140.000000	100.000000	 0.000303	 0.002718	 0.007047	 0.005241
-140.000000	105.000000	-0.001610	 0.006331	 0.006638	 0.004321
-140.000000	110.000000	-0.001447	 0.007869	 0.006994	 0.004364
-140.000000	115.000000	 0.001115	 0.009050	 0.007947	 0.004507
-140.000000	120.000000	 0.002578	 0.011272	 0.007205	 0.004150
-140.000000	125.000000	 0.003414	 0.011735	 0.005455	 0.003992
-140.000000	130.000000	 0.007367	 0.011024	 0.005721	 0.003520
-140.000000	135.000000	 0.012372	 0.011264	 0.006745	 0.002299
-140.000000	140.000000	 0.015129	 0.010191	 0.006076	 0.000929
-140.000000	145.000000	 0.017985	 0.007929	 0.005156	 0.000056
-140.000000	150.000000	 0.021490	 0.007515	 0.004968	-0.000161
-140.000000	155.000000	 0.022480	 0.007954	 0.004140	-0.000009
-140.000000	160.000000	 0.021641	 0.007804	 0.002925	 0.000699
-140.000000	165.000000	 0.021474	 0.008234	 0.002561	 0.001053
-140.000000	170.000000	 0.021513	 0.009045	 0.002490	-0.000141
-140.000000	175.000000	 0.020936	 0.009083	 0.001754	-0.000346
-140.000000	180.000000	-0.020368	-0.009154	-0.000635	-0.001913
-135.000000	 0.000000	 0.027791	 0.007297	-0.002087	 0.000611
-135.000000	 5.000000	 0.026379	 0.007636	-0.003506	 0.001456
-135.000000	10.000000	 0.025485	 0.010476	-0.003241	 0.001309
-135.000000	15.000000	 0.025319	 0.012330	-0.003821	 0.001572
-135.000000	20.000000	 0.024454	 0.013325	-0.005480	 0.001651
-135.000000	25.000000	 0.022765	 0.014814	-0.007015	 0.002084
-135.000000	30.000000	 0.022468	 0.014372	-0.008786	 0.001601
-135.000000	35.000000	 0.021089	 0.012613	-0.009372	 0.000580
-135.000000	40.000000	 0.017919	 0.011390	-0.009003	 0.002003
-135.000000	45.000000	 0.017514	 0.009856	-0.009917	 0.002704
-135.000000	50.000000	 0.017598	 0.007411	-0.010608	 0.001752
-135.000000	55.000000	 0.014576	 0.003786	-0.009663	 0.002929
-135.000000	60.000000	 0.011617	-0.001071	-0.008547	 0.005216
-135.000000	65.000000	 0.010099	-0.006105	-0.008393	 0.007818
-135.000000	70.000000	 0.008934	-0.009180	-0.007807	 0.010805
-135.000000	75.000000	 0.005627	-0.009326	-0.005899	 0.011306
-135.000000	80.000000	 0.000019	-0.007561	-0.006034	 0.008795
